date_key,customer,bandwidth,subgroup,subgroup1,the_group,inner_group,inex,currency,type,date
202208,Edgecast Networks,0,Revenue,Revenue,Data,CDN Infrastructure,External,USD,MTD,2022-08-01 00:00:00.000
202208,JAPFA,75,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2022-08-01 00:00:00.000
202208,Level 3 Communication,630,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2022-08-01 00:00:00.000
202208,Nevigate Communication,20,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2022-08-01 00:00:00.000
202208,Orange Business Services,5066.984375,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2022-08-01 00:00:00.000
202208,PLDT,10000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2022-08-01 00:00:00.000
202209,Amazon,0,Revenue,Revenue,Data,Other Data,External,IDR,MTD,2022-09-01 00:00:00.000
202209,China Telecom,0,Revenue,Revenue,Data,Other Data,External,IDR,MTD,2022-09-01 00:00:00.000
202209,Chunghwa Telecom,2,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2022-09-01 00:00:00.000
202209,Microsoft,0,Revenue,Revenue,Data,IP Transit,External,IDR,MTD,2022-09-01 00:00:00.000
202209,Microsoft,10,Revenue,Revenue,Data,IP VPN,External,IDR,MTD,2022-09-01 00:00:00.000
202209,Microsoft,10000,Revenue,Revenue,Data,Other Data,External,IDR,MTD,2022-09-01 00:00:00.000
202209,Netflix,100000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2022-09-01 00:00:00.000
202209,NTT Communications,100004,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2022-09-01 00:00:00.000
202209,PCCW,10000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2022-09-01 00:00:00.000
202209,PNG Dataco,0,Revenue,Revenue,Data,Other Data,External,USD,MTD,2022-09-01 00:00:00.000
202209,PT. Aliansi Teknologi Indonesia,20,Revenue,Revenue,Data,IPLC/IEPL,External,IDR,MTD,2022-09-01 00:00:00.000
202209,Telkom DSO,8933000,Revenue,Revenue,Data,IP Transit,Internal,IDR,MTD,2022-09-01 00:00:00.000
202210,Amazon,0,Revenue,Revenue,Data,Other Data,External,IDR,MTD,2022-10-01 00:00:00.000
202210,Bharti,7,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2022-10-01 00:00:00.000
202210,China Unicom,0,Revenue,Revenue,Data,Other Data,External,USD,MTD,2022-10-01 00:00:00.000
202210,Korea Telecom,10,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2022-10-01 00:00:00.000
202210,Microsoft,10,Revenue,Revenue,Data,IP VPN,External,IDR,MTD,2022-10-01 00:00:00.000
202210,NTT Communications,100004,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2022-10-01 00:00:00.000
202210,PCCW,10000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2022-10-01 00:00:00.000
202210,SK Broadband,4,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2022-10-01 00:00:00.000
202110,IX Telecom,200,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2021-10-01 00:00:00.000
202110,Microsoft,10,Revenue,Revenue,Data,IP VPN,External,IDR,MTD,2021-10-01 00:00:00.000
202110,Orange Business Services,6011,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2021-10-01 00:00:00.000
202110,PCCW,10000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2021-10-01 00:00:00.000
202110,Pgas Telecommunication,10000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2021-10-01 00:00:00.000
202110,PT. Aliansi Teknologi Indonesia,20,Revenue,Revenue,Data,IPLC/IEPL,External,IDR,MTD,2021-10-01 00:00:00.000
202110,Sprint,150,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2021-10-01 00:00:00.000
202110,Sprint,0,Revenue,Revenue,Data,Other Data,External,USD,MTD,2021-10-01 00:00:00.000
202110,Telkom DES,93.4375,Revenue,Revenue,Data,IP VPN,Internal,IDR,MTD,2021-10-01 00:00:00.000
202110,Telkom DGS,100,Revenue,Revenue,Data,IP Transit,Internal,IDR,MTD,2021-10-01 00:00:00.000
202111,China Unicom,0,Revenue,Revenue,Data,Other Data,External,USD,MTD,2021-11-01 00:00:00.000
202111,CJ Feed Myanmar,40,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2021-11-01 00:00:00.000
202111,Facebook,800000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2021-11-01 00:00:00.000
202111,"Innove Communication, Inc",10000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2021-11-01 00:00:00.000
202111,Level 3 Communication,1140,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2021-11-01 00:00:00.000
202111,NTT Communications,64,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2021-11-01 00:00:00.000
202111,PT. Artha Dana Teknologi,1,Revenue,Revenue,Data,IP VPN,External,IDR,MTD,2021-11-01 00:00:00.000
202111,Telekom Malaysia,100000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2021-11-01 00:00:00.000
202111,Telkom DES,1216.5625,Revenue,Revenue,Data,IPLC/IEPL,Internal,IDR,MTD,2021-11-01 00:00:00.000
202111,Verizon,0,Revenue,Revenue,Data,Other Data,External,USD,MTD,2021-11-01 00:00:00.000
202112,Amazon,100,Revenue,Revenue,Data,IP VPN,External,IDR,MTD,2021-12-01 00:00:00.000
202112,Bharti,7,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2021-12-01 00:00:00.000
202112,Chunghwa Telecom,0,Revenue,Revenue,Data,Other Data,External,USD,MTD,2021-12-01 00:00:00.000
202112,CJ Feed Myanmar,40,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2021-12-01 00:00:00.000
202112,GTT Communications,30000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2021-12-01 00:00:00.000
202112,HM Sampoerna,10,Revenue,Revenue,Data,IP Transit,External,IDR,MTD,2021-12-01 00:00:00.000
202112,HM Sampoerna,0,Revenue,Revenue,Data,Other Data,External,IDR,MTD,2021-12-01 00:00:00.000
202112,Level 3 Communication,1130,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2021-12-01 00:00:00.000
202112,Level 3 Communication,0,Revenue,Revenue,Data,Other Data,External,USD,MTD,2021-12-01 00:00:00.000
202112,Meiloon,40,Revenue,Revenue,Data,IP VPN,External,IDR,MTD,2021-12-01 00:00:00.000
202112,NTT Communications,64,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2021-12-01 00:00:00.000
202112,Orange Business Services,5301.84375,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2021-12-01 00:00:00.000
202112,PT Reach Network Services Indonesia,794,Revenue,Revenue,Data,IP VPN,External,IDR,MTD,2021-12-01 00:00:00.000
202112,Singapore Telecom,200,Revenue,Revenue,Data,IP Transit,External,USD,MTD,2021-12-01 00:00:00.000
202112,Singapore Telecom,200145,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2021-12-01 00:00:00.000
202112,Singapore Telecom,0,Revenue,Revenue,Data,Other Data,External,USD,MTD,2021-12-01 00:00:00.000
202112,Telkom DES,244,Revenue,Revenue,Data,IPLC/IEPL,Internal,IDR,MTD,2021-12-01 00:00:00.000
202201,British Telecom,504,Revenue,Revenue,Data,IP VPN,External,IDR,MTD,2022-01-01 00:00:00.000
202201,China Telecom,160480,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2022-01-01 00:00:00.000
202201,CMC Telecom,1180,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2022-01-01 00:00:00.000
202201,Facebook,800000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2022-01-01 00:00:00.000
202201,Global Transit Communications,40000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2022-01-01 00:00:00.000
202201,GTT Communications,30000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2022-01-01 00:00:00.000
202201,Korea Telecom,10,Revenue,Revenue,Data,IPLC/IEPL,External,USD,MTD,2022-01-01 00:00:00.000
202201,Nevigate Communication,4,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2022-01-01 00:00:00.000
202201,NTT Communications,65,Revenue,Revenue,Data,IP VPN,External,USD,MTD,2022-01-01 00:00:00.000
202201,PT. Artha Dana Teknologi,50,Revenue,Revenue,Data,IPLC/IEPL,External,IDR,MTD,2022-01-01 00:00:00.000
202201,Verizon,0,Revenue,Revenue,Data,Other Data,External,USD,MTD,2022-01-01 00:00:00.000
202312,Catchpoint Systems,1215,Revenue,Revenue,Data,Other Data,External,USD,MTD,2023-12-01 00:00:00.000
202312,China Telecom,550,Revenue,Revenue,Data,IP VPN,External,IDR,MTD,2023-12-01 00:00:00.000
202312,Conversant,0,Revenue,Revenue,Data,CDN Infrastructure,External,IDR,MTD,2023-12-01 00:00:00.000
202303,Bharti,0,Revenue,Revenue,Data,Other Data,External,USD,YTD,2023-03-01 00:00:00.000
202303,British Telecom,504,Revenue,Revenue,Data,IP VPN,External,IDR,YTD,2023-03-01 00:00:00.000
202303,China Telecom,160480,Revenue,Revenue,Data,IPLC/IEPL,External,USD,YTD,2023-03-01 00:00:00.000
202303,China Telecom,0,Revenue,Revenue,Data,Other Data,External,IDR,YTD,2023-03-01 00:00:00.000
202303,CJ Feed Myanmar,65,Revenue,Revenue,Data,IP VPN,External,USD,YTD,2023-03-01 00:00:00.000
202303,CMC Telecom,1180,Revenue,Revenue,Data,IP VPN,External,USD,YTD,2023-03-01 00:00:00.000
202303,Facebook,800000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,YTD,2023-03-01 00:00:00.000
202303,HM Sampoerna,7757,Revenue,Revenue,Data,IP VPN,External,IDR,YTD,2023-03-01 00:00:00.000
202303,HM Sampoerna,0,Revenue,Revenue,Data,Other Data,External,IDR,YTD,2023-03-01 00:00:00.000
202303,PT Reach Network Services Indonesia,794,Revenue,Revenue,Data,IP VPN,External,IDR,YTD,2023-03-01 00:00:00.000
202303,PT. Adhi Lima Cipta,976.5625,Revenue,Revenue,Data,IPLC/IEPL,External,IDR,YTD,2023-03-01 00:00:00.000
202303,PT. Artha Dana Teknologi,1,Revenue,Revenue,Data,IP VPN,External,IDR,YTD,2023-03-01 00:00:00.000
202303,PT. Mitra Integrasi Informatika,2000,Revenue,Revenue,Data,IPLC/IEPL,External,IDR,YTD,2023-03-01 00:00:00.000
202303,Singapore Telecom,200,Revenue,Revenue,Data,IP Transit,External,USD,YTD,2023-03-01 00:00:00.000
202303,Singapore Telecom,0,Revenue,Revenue,Data,Other Data,External,USD,YTD,2023-03-01 00:00:00.000
202306,Tata Communications,100004,Revenue,Revenue,Data,IPLC/IEPL,External,USD,YTD,2023-06-01 00:00:00.000
202306,Telkom DES,202148,Revenue,Revenue,Data,IPLC/IEPL,Internal,IDR,YTD,2023-06-01 00:00:00.000
202307,,20,Revenue,Revenue,Data,Other Data,,IDR,YTD,2023-07-01 00:00:00.000
202307,Amazon,2040200,Revenue,Revenue,Data,IPLC/IEPL,External,IDR,YTD,2023-07-01 00:00:00.000
202307,Bharti,0,Revenue,Revenue,Data,Other Data,External,USD,YTD,2023-07-01 00:00:00.000
202307,China Telecom,160480,Revenue,Revenue,Data,IPLC/IEPL,External,USD,YTD,2023-07-01 00:00:00.000
202307,CJ Feed Myanmar,65,Revenue,Revenue,Data,IP VPN,External,USD,YTD,2023-07-01 00:00:00.000
202307,Conversant,0,Revenue,Revenue,Data,CDN Infrastructure,External,IDR,YTD,2023-07-01 00:00:00.000
202307,Expereo,361,Revenue,Revenue,Data,IP VPN,External,USD,YTD,2023-07-01 00:00:00.000
202307,HM Sampoerna,8233,Revenue,Revenue,Data,IP VPN,External,IDR,YTD,2023-07-01 00:00:00.000
202307,Orange Business Services,0,Revenue,Revenue,Data,IP Transit,External,USD,YTD,2023-07-01 00:00:00.000
202307,Orange Business Services,0,Revenue,Revenue,Data,Other Data,External,USD,YTD,2023-07-01 00:00:00.000
202307,Singapore Telecom,200,Revenue,Revenue,Data,IP Transit,External,USD,YTD,2023-07-01 00:00:00.000
202307,Singapore Telecom,0,Revenue,Revenue,Data,Other Data,External,USD,YTD,2023-07-01 00:00:00.000
202307,Telkom DGS,12,Revenue,Revenue,Data,IP VPN,Internal,IDR,YTD,2023-07-01 00:00:00.000
